title,channel,watched_at,video_url,video_ids,channel_id,video_duration,classification,classification_reason,classification_evidence
Halo Main Theme | Soundtrack | The Bands of HM Royal Marines,The Bands of HM Royal Marines,2026-07-07 17:53:59+00:00,https://www.youtube.com/watch?v=oQ8FZDm8pso,oQ8FZDm8pso,UCJ_cJSfxvUG3H-Q_5ylW7xg,PT3M8S,confirmed_music,music_channel,
Funniest bit of British comedy,MillerTime,2026-07-07 18:43:51+00:00,https://www.youtube.com/watch?v=34mk2F4iff4,34mk2F4iff4,UCcEBjovm2se1eRwvnwitz_Q,PT2M11S,probable_music,youtube_music_category_only,
"Blackbear - ""Deadroses"" OFFICIAL VERSION",StrictlyHits,2026-07-08 13:54:39+00:00,https://www.youtube.com/watch?v=8amLwmLp9pg,8amLwmLp9pg,UCvTLh2gYXW3P6UzT1W9kegw,PT3M6S,confirmed_music,music_channel,
Red （Lofi Ver.）,Mori Calliope - Topic,2026-07-08 14:11:31+00:00,https://www.youtube.com/watch?v=4dkup34LO6E,4dkup34LO6E,UCT6fzkIIQuAQIiJK3tt-keg,PT4M25S,confirmed_music,music_channel,
It's Going Down Now,Azumi Takahashi - Topic,2026-07-10 17:21:02+00:00,https://www.youtube.com/watch?v=2KuWjZD6PBA,2KuWjZD6PBA,UCPvaDaeCvULM4x1HOAwBcOw,PT3M7S,confirmed_music,music_channel,
Official髭男dism - Pretender［Official Video］,Official髭男dism,2026-07-10 18:08:33+00:00,https://www.youtube.com/watch?v=TQ8WlA2GXbk,TQ8WlA2GXbk,UC3vg17IZ1IV73xx069jG44w,PT5M36S,confirmed_music,music_channel,
why do i? (set it off feat. hatsune miku) ♡ cover【rachie x KiAme】,rachie 🎀💌,2026-07-10 18:08:35+00:00,https://www.youtube.com/watch?v=86d6rMcfZts,86d6rMcfZts,UCRbsmnDTHD9-4pEIuG7zYRw,PT2M52S,confirmed_music,music_channel,
「Yona Yona Journey / TAKU INOUE & Mori Calliope」MUSIC VIDEO,TAKU INOUE,2026-07-10 18:40:05+00:00,https://www.youtube.com/watch?v=YO1V9fn7zYo,YO1V9fn7zYo,UCICy3BC4CIU2OXa7VGoektw,PT4M24S,confirmed_music,music_channel,
Mechanized Memories,FreQuency - Topic,2026-07-10 18:44:23+00:00,https://www.youtube.com/watch?v=Wp3t9Nwjr_8,Wp3t9Nwjr_8,UCso8EafhT3TzkVYvT37lGag,PT4M29S,confirmed_music,music_channel,
【Mechanized Memories/アーマード・コア】三味線だけで弾いてみたら火傷したぜ [ARMORED CORE：Japanese Music Shamisen Cover],しゃみお - Shamisen player Shamio,2026-07-10 18:44:38+00:00,https://www.youtube.com/watch?v=so-wDs-ANMg,so-wDs-ANMg,UCzbj36R2CRdQs6Ve47h5_wQ,PT1M59S,confirmed_music,music_channel,
